Reporting_Airline,Origin,Dest,origin_windy,dest_windy,origin_rain,dest_rain,total_flights,total_delayed_flights,total_weather_delayed_flights,total_dep_delay,total_arr_delay,total_weather_delay
MQ,JAX,MIA,0,1,1,0,4,2,0,252.0,238.0,0.0
NK,FLL,SJU,0,0,0,0,32,17,0,269.0,133.0,0.0
OO,DTW,HPN,0,1,0,0,19,9,0,406.0,391.0,0.0
G4,PGD,CVG,1,0,1,0,3,1,0,161.0,124.0,0.0
WN,MKE,MCO,1,0,0,0,7,5,0,43.0,29.0,0.0
UA,EWR,TPA,0,0,0,1,10,2,1,275.0,191.0,31.0
MQ,PVD,ORD,0,0,0,0,46,13,0,53.0,-147.0,0.0
OO,ORD,SDF,0,0,0,0,41,9,0,236.0,-124.0,0.0
B6,JFK,BOS,1,0,1,1,16,11,0,610.0,524.0,0.0
YX,EWR,CMH,1,1,1,0,10,4,0,239.0,221.0,0.0
YX,LGA,CMH,1,1,1,0,2,1,0,1.0,-8.0,0.0
YX,IAD,IND,0,0,1,1,7,1,0,60.0,-15.0,0.0
F9,MCO,PSE,0,1,0,0,12,4,0,323.0,277.0,0.0
OO,ORD,CID,1,0,0,0,6,1,0,22.0,-21.0,0.0
9E,SAV,LGA,0,0,1,0,51,15,3,450.0,20.0,82.0
MQ,RDU,MIA,0,0,0,1,2,0,0,-2.0,-16.0,
F9,ONT,DFW,0,0,0,1,2,1,0,196.0,179.0,0.0
AA,GRR,CLT,1,0,0,1,2,2,0,16.0,7.0,
WN,BWI,MHT,1,0,0,0,6,3,0,134.0,82.0,0.0
B6,TPA,SJU,1,0,0,0,3,0,0,-18.0,-42.0,
AA,ORD,BWI,1,0,0,0,3,2,0,110.0,118.0,0.0
AA,HDN,DFW,0,0,1,0,6,3,1,64.0,86.0,67.0
AA,ORD,SNA,0,1,1,0,2,1,0,197.0,163.0,0.0
B6,CLE,BOS,1,1,0,1,2,1,0,-9.0,-15.0,
UA,AUS,IAH,1,0,1,0,5,3,0,31.0,40.0,0.0
OO,DRO,PHX,0,1,0,0,3,1,1,-6.0,69.0,3.0
G4,PIE,BMI,1,0,1,0,2,0,0,-29.0,-35.0,
AA,CVG,CLT,1,0,0,1,2,0,0,-7.0,-7.0,
WN,BWI,DTW,0,1,1,0,10,8,0,528.0,501.0,0.0
YX,IAD,IND,0,1,1,0,6,1,1,-14.0,-93.0,15.0
AA,MIA,OKC,0,1,1,0,2,1,1,181.0,149.0,36.0
B6,JFK,JAX,0,0,1,1,2,1,0,17.0,17.0,0.0
AA,CMH,DFW,0,1,1,0,14,9,0,919.0,869.0,0.0
UA,CLE,IAD,0,0,1,1,3,1,0,-8.0,-17.0,
WN,CVG,DEN,1,0,1,0,11,4,0,256.0,133.0,0.0
AS,ANC,OTZ,0,0,0,0,38,11,0,281.0,290.0,0.0
AA,ORD,PHL,1,1,1,1,6,4,0,115.0,154.0,0.0
UA,EWR,SAV,0,0,1,0,21,11,0,700.0,656.0,0.0
MQ,ORD,SYR,1,1,1,1,2,1,0,2.0,-8.0,
9E,MLI,ATL,1,1,1,0,3,1,1,4.0,32.0,11.0
WN,SRQ,BWI,0,0,1,1,3,2,0,384.0,330.0,0.0
UA,MIA,EWR,0,1,0,1,6,1,0,1.0,-60.0,0.0
WN,LGA,STL,1,1,1,0,3,2,0,342.0,258.0,0.0
WN,MDW,MIA,1,1,0,0,2,1,0,52.0,25.0,0.0
MQ,AUS,DFW,1,0,0,0,5,2,0,97.0,97.0,0.0
DL,MYR,MSP,0,0,0,0,27,4,0,-188.0,-346.0,0.0
OH,DTW,DCA,0,0,1,0,22,13,1,183.0,142.0,1.0
9E,LGA,GSO,0,0,1,1,13,6,0,662.0,474.0,0.0
NK,SDF,MCO,1,1,1,0,1,1,0,31.0,49.0,0.0
WN,DTW,STL,1,0,1,0,4,0,0,-9.0,-68.0,
OH,DFW,MGM,1,0,0,0,7,3,0,108.0,74.0,0.0
OO,MSP,RHI,0,1,1,0,2,1,0,31.0,5.0,
DL,MSY,LGA,0,1,0,1,1,0,0,-5.0,-20.0,
OO,DEN,PNS,0,0,1,0,1,1,0,0.0,46.0,0.0
F9,CLT,DFW,0,1,1,0,2,2,0,115.0,152.0,0.0
F9,ATL,BUF,0,1,0,0,7,3,0,41.0,35.0,0.0
MQ,ACT,DFW,0,1,1,0,2,2,1,188.0,222.0,199.0
G4,GRR,SAV,0,1,0,0,1,0,0,-12.0,-24.0,
UA,IAH,CLE,1,0,1,0,17,10,1,811.0,741.0,39.0
F9,IAH,DFW,0,0,1,0,13,13,1,294.0,536.0,14.0
NK,ATL,MSP,0,1,0,0,37,8,0,167.0,-95.0,0.0
OO,ESC,DTW,0,0,1,0,8,4,2,439.0,357.0,65.0
OO,MSP,ICT,1,1,0,0,2,1,0,26.0,38.0,0.0
AA,IAH,PHX,1,0,1,0,4,2,2,412.0,334.0,142.0
WN,HOU,SAN,1,0,1,0,6,3,1,150.0,149.0,26.0
OO,JLN,DEN,0,1,1,0,3,0,0,-25.0,-116.0,
WN,LGA,DAL,0,0,0,0,71,19,0,1181.0,538.0,0.0
OO,MCI,ORD,1,1,0,0,1,0,0,-6.0,-17.0,
OO,TUL,DFW,1,0,0,0,1,0,0,-9.0,-15.0,
UA,SDF,DEN,0,1,1,0,5,2,0,81.0,38.0,0.0
MQ,CLE,ORD,0,1,1,0,9,3,0,245.0,211.0,0.0
WN,BWI,CLE,0,1,0,0,19,6,0,140.0,-36.0,0.0
UA,SYR,DEN,0,0,1,1,2,0,0,-13.0,-60.0,
F9,DEN,MSN,0,1,1,0,1,1,0,141.0,128.0,0.0
9E,RDU,LGA,0,1,1,1,2,1,0,-4.0,-19.0,
YX,DCA,DTW,0,0,1,0,7,1,0,-38.0,-135.0,
B6,HPN,ACK,0,1,0,1,7,2,0,-62.0,-73.0,0.0
OO,ACT,DFW,1,1,1,0,2,2,0,381.0,383.0,0.0
WN,SAV,HOU,0,0,0,0,27,8,0,230.0,130.0,0.0
F9,CLE,IAH,1,0,1,0,1,0,0,0.0,-8.0,
OH,CRW,CLT,0,1,0,0,7,2,0,-56.0,-45.0,0.0
WN,BNA,ORF,1,0,1,0,4,2,0,28.0,-1.0,0.0
UA,ORD,MSO,0,1,0,0,2,1,0,-14.0,25.0,0.0
YX,LGA,MVY,1,0,0,0,1,0,0,-8.0,-25.0,
F9,TPA,CVG,0,0,1,0,19,11,0,386.0,309.0,0.0
UA,GRR,DEN,1,0,0,0,11,3,0,-24.0,-52.0,0.0
OO,DEN,LNK,0,1,0,0,9,4,1,224.0,156.0,58.0
OO,SLN,DEN,0,0,1,0,5,3,0,384.0,335.0,0.0
YX,MVY,DCA,0,0,0,0,30,10,0,1020.0,1069.0,0.0
DL,MKE,SLC,0,0,1,0,5,0,0,-27.0,-53.0,
DL,TVC,ATL,0,0,0,0,5,2,0,71.0,17.0,0.0
AA,EYW,DFW,0,1,1,0,3,1,0,113.0,73.0,0.0
DL,MSP,CLE,0,0,0,1,3,0,0,-17.0,-44.0,
DL,TVC,LGA,0,0,0,0,8,2,0,-7.0,-61.0,0.0
G4,GRR,SRQ,1,0,0,0,1,1,0,25.0,12.0,
WN,BUF,TPA,1,0,1,1,2,2,0,30.0,79.0,0.0
OO,BPT,DFW,0,0,1,0,38,9,2,242.0,13.0,191.0
WN,BWI,MCI,0,0,0,1,8,5,0,107.0,109.0,0.0
UA,ORD,PNS,0,0,1,1,2,1,0,13.0,-2.0,
OO,ORD,ROA,0,0,1,0,24,10,0,332.0,343.0,0.0
9E,DTW,CHA,0,0,1,0,14,2,0,-32.0,-106.0,0.0
NK,MYR,LBE,1,0,1,0,5,2,1,147.0,84.0,15.0
OH,BUF,PHL,0,0,0,0,20,7,0,100.0,101.0,0.0
F9,MDW,MIA,0,1,1,0,1,1,0,15.0,10.0,
UA,ANC,ORD,0,1,1,1,1,1,0,48.0,41.0,0.0
OO,DSM,ORD,0,0,0,0,23,9,2,783.0,639.0,228.0
F9,PHL,PIT,0,0,0,0,44,14,0,-217.0,-88.0,0.0
9E,TYS,MSP,0,1,0,0,6,2,0,23.0,1.0,0.0
UA,IAH,OMA,0,1,1,0,9,6,0,1294.0,1266.0,0.0
F9,MDW,RDU,0,1,0,0,1,1,0,0.0,18.0,0.0
WN,OGG,LIH,1,0,0,0,2,1,0,9.0,5.0,
OH,CLT,GSP,0,1,0,0,1,1,0,-3.0,2.0,
DL,TPA,MSP,1,0,0,0,2,0,0,2.0,-12.0,
YX,LGA,MVY,0,1,1,1,2,0,0,7.0,-10.0,
B6,BDL,SJU,0,1,1,1,3,2,0,40.0,19.0,0.0
AS,AKN,ANC,1,0,1,0,7,4,0,-12.0,29.0,0.0
HA,OGG,HNL,1,0,1,1,8,5,0,12.0,45.0,0.0
HA,HNL,LIH,0,1,1,1,9,3,0,-19.0,-26.0,
WN,ABQ,MDW,0,0,0,0,3,1,0,26.0,37.0,0.0
UA,IAD,RDU,0,1,0,1,1,1,0,-5.0,19.0,0.0
UA,ANC,IAD,1,0,0,0,1,0,0,-3.0,-15.0,
MQ,MIA,SJU,0,1,1,0,1,0,0,0.0,-2.0,
F9,BOS,ATL,0,0,0,0,30,16,0,267.0,513.0,0.0
AA,PNS,PHL,1,0,0,0,1,1,0,-1.0,2.0,
WN,RIC,ATL,0,1,0,0,5,3,0,17.0,21.0,0.0
WN,MDW,ONT,0,0,0,0,17,4,0,112.0,-126.0,0.0
YX,EWR,BGR,0,0,1,1,7,3,1,838.0,850.0,836.0
9E,IND,DTW,1,1,1,0,2,1,0,2.0,6.0,
G4,SFB,SGF,1,1,1,0,1,1,0,6.0,18.0,0.0
YX,LGA,JAX,1,0,0,0,1,0,0,-5.0,-7.0,
YX,LEX,ORD,1,1,1,0,5,1,0,-11.0,-23.0,
YX,CID,ORD,1,0,1,0,1,0,0,-5.0,-15.0,
WN,STL,MCO,1,1,1,1,2,0,0,-12.0,-16.0,
WN,HOU,PIT,1,1,1,0,2,2,0,13.0,20.0,0.0
WN,OMA,MCO,0,0,0,1,5,4,0,362.0,380.0,0.0
MQ,AMA,DFW,1,0,1,1,1,1,0,26.0,54.0,0.0
G4,BNA,SYR,0,1,0,0,3,0,0,-20.0,-48.0,
OH,OKC,DCA,1,0,1,0,3,2,0,47.0,77.0,0.0
OH,IAH,PHL,0,1,0,0,7,3,0,-30.0,-70.0,
UA,DTW,DEN,0,1,0,1,3,1,0,-22.0,-34.0,
OO,ORD,CLE,0,0,1,1,2,1,0,10.0,7.0,0.0
F9,ATL,CVG,0,1,0,1,3,2,0,7.0,30.0,0.0
UA,DSM,DEN,1,0,0,0,5,2,1,191.0,256.0,219.0
OO,ORD,ELP,0,1,0,0,4,2,0,196.0,207.0,0.0
AS,SEA,GEG,1,1,0,0,8,5,0,32.0,54.0,0.0
OH,PVD,PHL,0,1,1,0,4,1,0,-13.0,-35.0,
MQ,RDM,PHX,0,0,0,0,18,3,0,792.0,485.0,0.0
OO,DFW,SJT,0,1,0,0,7,2,0,47.0,29.0,0.0
AA,CLT,PHX,0,0,1,1,8,4,0,33.0,-27.0,
WN,HOU,SAT,1,0,1,1,6,5,2,195.0,186.0,22.0
UA,ORD,ORF,0,0,1,1,1,0,0,-1.0,-6.0,
AA,LAX,TUL,0,0,0,0,6,3,0,47.0,6.0,0.0
MQ,DFW,RAP,1,1,1,0,2,2,1,296.0,314.0,4.0
DL,CVG,FLL,1,1,0,0,3,2,0,4.0,8.0,0.0
OO,DTW,MCI,1,0,0,0,1,1,0,-10.0,18.0,0.0
OO,GEG,PDX,1,0,0,1,3,0,0,-13.0,-29.0,
AS,RSW,SEA,1,0,1,1,1,1,0,25.0,33.0,0.0
OO,ORD,BDL,0,0,0,1,1,1,0,28.0,26.0,0.0
9E,DTW,CLE,1,0,0,1,2,1,0,-3.0,7.0,0.0
9E,ITH,JFK,0,0,0,0,159,20,1,711.0,-1354.0,17.0
WN,MSY,LAX,0,0,0,0,104,50,1,1052.0,299.0,11.0
DL,AUS,MSP,0,0,0,0,276,63,1,1619.0,-442.0,8.0
WN,SJC,SAN,0,0,0,0,310,118,1,2646.0,2633.0,58.0
WN,LGB,SJC,0,0,0,0,184,43,1,1414.0,-32.0,19.0
WN,OAK,BNA,0,0,0,0,112,31,0,200.0,-399.0,0.0
YX,CVG,ORD,0,1,0,0,23,2,1,-145.0,-476.0,19.0
AS,SEA,SFO,0,1,1,0,40,29,0,1035.0,1185.0,0.0
AA,MIA,SJU,0,0,0,1,37,13,1,631.0,388.0,103.0
UA,LAX,EWR,0,0,0,0,702,213,5,9401.0,1700.0,441.0
UA,SFO,HNL,0,0,1,0,37,20,0,771.0,549.0,0.0
9E,ATL,HSV,0,0,0,0,88,19,0,144.0,-203.0,0.0
AS,SAN,IAD,0,0,0,0,68,37,5,721.0,1084.0,126.0
OO,BLI,SEA,0,0,0,0,324,197,5,3362.0,3883.0,334.0
NK,MCO,DTW,0,0,1,0,23,14,0,837.0,785.0,0.0
OO,SLC,HLN,0,0,0,0,30,11,4,103.0,45.0,133.0
NK,SEA,LAS,0,1,0,0,12,5,0,273.0,114.0,0.0
MQ,DFW,XNA,0,0,0,0,182,46,4,477.0,-371.0,234.0
UA,IAH,FLL,1,1,1,0,10,6,1,935.0,971.0,143.0
WN,DAL,IAH,0,1,0,1,3,1,0,3.0,-2.0,0.0
WN,MCO,LAS,0,0,0,0,175,73,1,1156.0,-23.0,241.0
G4,PGD,LEX,0,0,0,0,47,12,0,741.0,666.0,0.0
AA,DFW,PHX,0,0,1,0,109,62,22,6188.0,5470.0,1303.0
DL,STL,ATL,0,0,0,1,28,4,0,-86.0,-197.0,0.0
DL,ATL,AUS,0,0,0,0,543,202,0,2814.0,1543.0,0.0
AA,CLT,AUS,0,0,1,0,62,32,7,1847.0,1393.0,245.0
AA,TPA,DCA,1,0,0,0,5,0,0,-14.0,-33.0,
G4,IND,FLL,0,1,0,0,5,2,0,19.0,60.0,0.0
UA,IAD,MCO,0,0,1,0,72,33,4,1330.0,1663.0,252.0
F9,RSW,PHL,1,0,0,0,3,3,1,121.0,120.0,27.0
UA,ORD,RDU,0,0,1,0,41,14,1,837.0,887.0,18.0
DL,ECP,ATL,0,0,0,0,906,227,4,3937.0,-503.0,145.0
NK,CLT,BOS,0,1,0,1,2,0,0,-12.0,-38.0,
NK,EWR,DFW,0,0,1,0,17,6,0,304.0,48.0,0.0
UA,EWR,FLL,0,0,1,0,124,49,2,1316.0,1258.0,163.0
NK,RIC,FLL,0,0,0,0,103,29,0,419.0,-637.0,0.0
UA,CLE,FLL,1,0,1,0,8,3,0,200.0,88.0,0.0
YX,LGA,XNA,0,0,1,0,20,4,0,141.0,-65.0,0.0
AA,DSM,DFW,0,1,0,1,4,2,0,183.0,189.0,0.0
DL,SAT,LAX,0,0,1,0,22,4,0,92.0,-152.0,0.0
AA,DFW,MCO,1,0,1,0,23,21,10,1829.0,2061.0,579.0
AA,MCI,ORD,0,0,1,0,15,12,0,432.0,470.0,0.0
DL,ATL,SYR,0,0,0,0,168,52,1,706.0,2.0,32.0
DL,IND,ATL,1,0,1,1,6,6,1,310.0,360.0,139.0
WN,BNA,ATL,1,0,1,1,2,2,0,29.0,42.0,0.0
WN,DCA,MSY,1,1,1,0,2,1,0,64.0,33.0,0.0
9E,ATL,ROA,0,0,1,1,16,7,2,698.0,637.0,341.0
F9,MCO,BOS,0,1,0,1,7,2,0,37.0,5.0,0.0
OO,FOD,ORD,0,1,0,0,26,9,0,350.0,252.0,0.0
DL,SLC,DFW,0,1,1,0,27,18,0,250.0,298.0,0.0
AA,CAE,DFW,0,0,0,1,6,4,0,9.0,165.0,0.0
UA,MCI,IAH,1,1,0,0,5,3,0,58.0,56.0,0.0
G4,SWF,PGD,0,0,0,0,11,5,0,335.0,249.0,0.0
B6,EWR,FLL,0,1,0,0,13,6,0,143.0,136.0,0.0
B6,BOS,JFK,1,1,0,1,12,7,0,402.0,461.0,0.0
AA,BWI,MIA,0,0,1,0,26,7,0,5.0,-99.0,0.0
B6,MCO,RDU,1,1,0,0,1,0,0,-14.0,-24.0,
HA,HNL,LAS,0,0,0,0,45,16,0,490.0,21.0,0.0
AA,MIA,ORF,0,0,1,0,12,8,3,701.0,622.0,562.0
OO,SUN,SLC,0,0,0,0,87,13,3,473.0,112.0,101.0
DL,MIA,ATL,1,0,0,0,9,2,0,85.0,-27.0,0.0
WN,SNA,AUS,0,1,0,0,7,3,0,88.0,29.0,0.0
B6,MCO,BDL,0,0,0,1,22,10,0,225.0,222.0,0.0
OH,CLT,CHS,0,0,1,0,16,8,1,151.0,28.0,20.0
DL,SLC,IAH,0,0,1,0,24,7,1,33.0,-78.0,58.0
F9,SJU,MIA,0,0,0,0,66,25,0,1887.0,1506.0,0.0
UA,BUF,ORD,0,0,0,1,6,4,1,193.0,199.0,114.0
UA,SFO,DCA,0,1,0,0,31,10,0,-60.0,-249.0,0.0
UA,PHX,LAX,0,0,0,1,1,1,0,3.0,9.0,
WN,LGB,MDW,0,1,1,0,4,1,0,108.0,40.0,0.0
NK,LAX,PIT,0,0,0,0,30,11,0,412.0,235.0,0.0
MQ,DFW,COU,0,0,0,0,72,24,4,817.0,357.0,24.0
WN,ORD,DAL,0,0,1,0,34,14,0,564.0,568.0,0.0
OH,DAY,DCA,0,0,1,0,49,13,0,83.0,-65.0,0.0
UA,MCI,ORD,0,0,1,1,8,4,0,198.0,184.0,0.0
DL,ATL,SAN,0,0,0,1,16,8,1,23.0,20.0,40.0
AA,ORD,TUS,0,0,1,1,1,1,0,-7.0,11.0,
9E,LGA,CHO,0,0,0,0,33,6,0,-58.0,-383.0,0.0
AA,DFW,CLT,0,0,0,1,44,27,2,771.0,745.0,71.0
OO,MSP,IMT,0,0,0,0,31,11,0,1177.0,1047.0,0.0
DL,MSY,LAX,1,0,0,0,21,6,1,311.0,148.0,52.0
OH,DCA,CAK,0,0,1,0,9,3,0,292.0,236.0,0.0
UA,MEM,IAH,0,1,0,1,2,2,0,-12.0,7.0,
9E,DTW,ORF,0,1,0,0,21,5,0,597.0,536.0,0.0
AA,CLT,STL,0,0,0,1,15,6,0,133.0,12.0,0.0
OH,DCA,DAY,0,1,0,0,14,4,0,-21.0,-17.0,0.0
UA,IND,IAH,0,0,0,0,72,18,0,-129.0,-623.0,0.0
G4,PSC,LAS,0,0,0,0,25,5,1,263.0,231.0,110.0
WN,MDW,MSY,0,0,1,1,5,3,0,95.0,88.0,0.0
UA,DEN,ONT,0,0,1,0,10,6,1,475.0,396.0,56.0
AA,CLT,SRQ,0,0,0,0,184,59,3,2731.0,1789.0,56.0
WN,BNA,AUS,0,1,1,0,8,3,0,-7.0,-53.0,
G4,SRQ,CID,0,0,0,0,6,0,0,-64.0,-135.0,
WN,BHM,DAL,0,1,0,0,7,5,0,87.0,78.0,0.0
MQ,CLT,GSO,0,0,0,0,4,0,0,-7.0,-47.0,
UA,SFO,HNL,0,1,0,1,4,2,0,256.0,247.0,0.0
WN,DAL,HOU,1,0,1,0,9,8,1,432.0,587.0,110.0
YX,BTV,IAD,0,0,0,0,131,9,0,-517.0,-1562.0,0.0
AA,OKC,MIA,0,0,1,0,4,4,0,-12.0,116.0,0.0
WN,AUS,ATL,0,1,0,0,28,6,0,13.0,-257.0,
G4,PIE,BGR,1,0,0,0,5,1,0,18.0,-58.0,
DL,LGA,DTW,1,1,1,0,3,0,0,-8.0,-31.0,
UA,ORD,FLL,1,0,0,0,6,3,1,200.0,183.0,209.0
UA,OGG,LAX,1,0,0,0,14,2,0,-23.0,-191.0,0.0
OO,SAN,SFO,0,1,0,0,44,30,1,823.0,1099.0,107.0
UA,LAX,LAS,0,1,0,1,1,0,0,0.0,0.0,
WN,LGB,LAS,0,1,1,1,1,1,0,-5.0,1.0,
DL,ATL,LAX,0,0,0,1,16,6,0,40.0,-55.0,0.0
OO,MKE,MSP,0,0,0,0,10,3,1,156.0,50.0,103.0
OO,SBN,MSP,0,0,0,0,106,32,1,645.0,93.0,96.0
WN,SMF,ONT,0,0,1,1,7,1,0,6.0,-43.0,0.0
DL,SLC,SMF,0,1,1,0,6,3,0,5.0,22.0,0.0
WN,AMA,DAL,1,0,0,1,4,3,0,82.0,102.0,0.0
AA,AMA,DFW,1,0,0,1,2,1,0,32.0,15.0,0.0
OO,HDN,LAX,1,0,1,0,1,1,0,12.0,45.0,0.0
UA,DEN,SFO,0,0,1,0,40,26,1,937.0,966.0,35.0
WN,DEN,ABQ,0,1,0,0,10,6,0,130.0,91.0,0.0
WN,LIT,LAS,0,0,1,1,3,2,0,102.0,96.0,0.0
WN,PDX,SJC,0,1,0,1,2,2,0,0.0,20.0,
DL,STT,ATL,1,0,0,0,7,3,0,-43.0,-42.0,0.0
AA,SNA,CLT,0,1,1,0,1,0,0,15.0,-12.0,
UA,ORD,SEA,0,1,0,0,12,5,0,21.0,-117.0,0.0
AA,SAN,PHX,0,0,1,0,19,10,0,83.0,113.0,0.0
OO,SLC,FAT,0,1,1,0,2,0,0,-13.0,-12.0,
OO,HLN,SEA,0,0,1,0,2,0,0,-15.0,-13.0,
OO,GJT,PHX,0,0,1,0,9,5,1,1616.0,1706.0,52.0
G4,BNA,PVU,0,0,1,1,1,1,0,-6.0,8.0,
G4,MEM,SFB,0,0,0,0,8,4,0,1025.0,977.0,0.0
AA,DFW,SMF,0,1,1,0,2,2,0,51.0,24.0,0.0
OH,ORF,DCA,0,0,1,0,36,12,2,454.0,194.0,20.0
G4,OMA,LAS,0,1,0,0,2,0,0,-21.0,-55.0,
AA,MIA,OKC,0,1,0,0,1,1,0,41.0,29.0,0.0
AA,CLT,MSN,1,0,1,0,4,2,0,35.0,12.0,0.0
DL,SEA,AUS,0,0,0,0,115,43,1,1590.0,1201.0,5.0
WN,STL,BNA,1,0,1,0,5,3,0,181.0,172.0,0.0
WN,HOU,PIT,0,0,1,0,16,10,0,124.0,88.0,0.0
B6,SJU,RDU,0,0,0,0,47,17,0,477.0,202.0,0.0
WN,MCO,MKE,1,0,1,0,6,4,0,187.0,200.0,0.0
DL,LAX,SEA,0,1,0,0,42,7,0,104.0,-554.0,0.0
OO,SHR,DEN,0,1,1,1,1,0,0,-7.0,,
UA,BZN,DEN,0,1,0,1,2,1,0,30.0,32.0,0.0
F9,SAN,DFW,0,1,0,0,20,10,0,1203.0,1299.0,0.0
WN,AUS,STL,0,1,0,1,3,1,0,-10.0,-27.0,
DL,SEA,CVG,0,0,1,0,20,4,0,561.0,364.0,0.0
WN,ICT,LAS,1,1,0,0,7,6,0,91.0,114.0,0.0
OO,PIB,MEI,0,0,1,1,3,2,0,76.0,73.0,0.0
G4,TUL,SFB,0,1,0,0,1,1,0,-1.0,6.0,
UA,MFR,DEN,0,1,1,0,17,5,0,760.0,502.0,0.0
AA,DCA,TPA,0,0,1,0,44,27,2,993.0,1333.0,64.0
OO,ATL,MOB,0,0,0,1,2,2,0,38.0,41.0,0.0
MQ,ORD,EWR,0,0,0,0,85,36,3,616.0,401.0,35.0
UA,IAD,DFW,0,1,0,0,37,12,0,125.0,-94.0,0.0
B6,FLL,HPN,1,0,0,1,4,2,1,164.0,150.0,130.0
9E,STL,LGA,1,1,1,1,1,0,0,-5.0,-11.0,
YX,GRR,ORD,0,1,1,1,4,1,0,-5.0,14.0,0.0
NK,MSY,ORD,0,1,1,0,3,1,0,-10.0,-22.0,
F9,CVG,RSW,1,0,0,0,10,4,0,-50.0,-6.0,0.0
OH,DCA,CLE,0,0,0,0,62,19,1,259.0,38.0,59.0
OH,CLT,GSO,0,0,1,0,21,8,5,520.0,330.0,133.0
B6,JFK,MCO,0,1,0,0,29,14,0,863.0,698.0,0.0
UA,ORD,PHX,1,0,0,0,27,8,0,83.0,-182.0,0.0
WN,RSW,DAL,0,0,0,1,3,3,0,39.0,30.0,
MQ,TLH,DFW,0,1,1,0,10,6,0,175.0,140.0,0.0
UA,SJU,ORD,0,1,0,0,13,4,0,-43.0,-98.0,
NK,PIT,RSW,0,0,0,0,4,1,0,-19.0,-32.0,
DL,DTW,MKE,0,1,1,1,2,1,0,169.0,156.0,0.0
UA,DEN,BOI,0,0,0,0,28,15,1,359.0,368.0,7.0
MQ,DFW,LBB,0,1,1,0,16,11,4,859.0,695.0,265.0
WN,CMH,MDW,1,1,0,0,1,0,0,0.0,-7.0,
OH,DFW,GPT,0,0,1,0,2,2,0,33.0,10.0,
YX,SAV,BOS,0,1,0,1,1,0,0,-2.0,-20.0,
UA,IAH,BOS,1,1,1,0,10,7,1,561.0,499.0,146.0
MQ,DFW,SWO,0,0,1,0,4,1,0,12.0,-55.0,
NK,FLL,MCO,1,0,1,0,3,2,1,18.0,53.0,5.0
NK,MCO,ORD,0,0,1,1,3,2,0,2.0,24.0,0.0
B6,FLL,LGA,0,0,1,1,11,6,3,778.0,822.0,451.0
OH,DFW,BTR,1,1,1,0,1,0,0,0.0,-9.0,
WN,AUS,PIT,0,1,1,0,4,1,0,31.0,-12.0,0.0
OH,CLT,CHS,0,0,0,1,5,2,0,16.0,-7.0,0.0
B6,BOS,SRQ,0,0,1,0,13,6,0,263.0,126.0,0.0
G4,HTS,SFB,0,0,1,0,4,1,0,-36.0,-53.0,
OH,DFW,TRI,0,1,0,0,2,1,0,-11.0,-2.0,
OH,DCA,PIT,0,0,0,1,5,2,0,-4.0,-16.0,0.0
AA,TUL,CLT,1,0,1,0,5,2,0,-32.0,-23.0,
OO,ORD,DTW,1,0,1,1,5,2,0,59.0,106.0,0.0
WN,BWI,MCI,1,1,1,0,4,1,0,89.0,28.0,0.0
WN,BWI,GSP,0,1,0,0,8,5,0,143.0,122.0,0.0
B6,PBI,HPN,0,1,0,1,5,2,0,-5.0,-31.0,
WN,MCO,ISP,1,1,0,0,1,0,0,-4.0,-30.0,
NK,ORD,LAX,0,1,1,0,4,2,0,12.0,-21.0,0.0
AA,ORD,JFK,1,1,1,0,3,3,0,222.0,239.0,0.0
WN,DAL,OAK,1,0,0,0,4,3,0,55.0,66.0,0.0
MQ,DFW,HOU,0,1,0,1,9,6,0,120.0,185.0,0.0
OH,DFW,JAN,0,1,0,0,6,2,0,132.0,131.0,0.0
F9,ATL,MSP,0,0,0,0,10,3,0,50.0,-8.0,0.0
OO,IAH,PIB,0,0,1,0,16,8,1,349.0,190.0,122.0
9E,JFK,CLT,1,1,0,0,4,4,0,43.0,128.0,0.0
9E,ITH,JFK,1,0,1,0,7,3,1,259.0,304.0,117.0
F9,TTN,ATL,1,0,1,0,1,0,0,-12.0,-3.0,
YX,EWR,DTW,1,1,1,1,3,1,0,-2.0,-8.0,0.0
OO,SYR,DTW,0,1,1,0,3,2,0,52.0,21.0,0.0
AS,SEA,DTW,0,1,0,0,23,9,1,167.0,52.0,26.0
MQ,ORD,TYS,0,0,0,0,14,6,1,116.0,165.0,15.0
MQ,CLT,XNA,0,0,0,1,5,2,0,80.0,6.0,0.0
F9,DFW,IND,0,0,0,0,8,2,0,59.0,-32.0,0.0
MQ,BUF,ORD,0,1,0,0,8,1,0,-45.0,-145.0,
MQ,CHS,DFW,0,0,0,0,48,17,0,-76.0,-108.0,0.0
DL,ATL,BTR,0,0,0,1,10,4,0,76.0,48.0,0.0
UA,LAX,CLE,1,0,1,0,2,1,0,19.0,-14.0,0.0
MQ,CHA,DFW,0,0,0,0,95,30,0,1060.0,500.0,0.0
AA,DCA,LAS,0,1,1,0,2,0,0,19.0,-31.0,
B6,SLC,LAX,1,1,1,0,1,1,0,20.0,6.0,
MQ,ORD,LSE,0,0,0,0,29,10,1,79.0,-118.0,33.0
YX,LGA,MCI,0,0,1,0,12,3,0,191.0,0.0,0.0
F9,DEN,PDX,0,0,1,0,5,4,1,88.0,53.0,19.0
WN,LIH,HNL,0,1,1,1,4,3,0,39.0,53.0,0.0
