Reporting_Airline,Origin,Dest,origin_windy,dest_windy,origin_rain,dest_rain,total_flights,total_delayed_flights,total_weather_delayed_flights,total_dep_delay,total_arr_delay,total_weather_delay
WN,PVD,MCO,1,0,0,0,13,5,0,505.0,345.0,0.0
WN,BNA,PHL,0,1,0,0,9,1,0,13.0,-95.0,
AA,CLT,MIA,0,0,0,1,32,13,1,1053.0,934.0,9.0
AA,FCA,ORD,0,0,0,1,2,0,0,-24.0,-27.0,
YX,ACK,PHL,1,0,0,0,7,5,0,333.0,379.0,0.0
OO,ATL,LFT,0,0,1,0,2,2,1,85.0,63.0,57.0
OH,MEM,DCA,0,0,0,0,20,7,0,187.0,23.0,0.0
G4,MDT,BNA,0,0,0,0,5,1,0,79.0,63.0,0.0
AA,SJU,DFW,0,0,0,1,1,1,0,-4.0,22.0,0.0
9E,BDL,LGA,0,0,1,0,11,5,0,65.0,66.0,0.0
WN,BWI,COS,0,0,0,0,25,9,0,221.0,-50.0,0.0
NK,CMH,FLL,0,1,0,1,2,1,0,67.0,41.0,0.0
G4,SRQ,LCK,1,0,1,0,2,2,0,44.0,24.0,0.0
9E,LGA,CHS,0,0,0,1,3,1,0,20.0,11.0,0.0
F9,MCO,CVG,1,0,1,0,3,3,0,239.0,207.0,0.0
YX,ACK,DCA,1,0,1,0,6,3,0,-4.0,15.0,0.0
AA,PIT,ORD,0,1,1,0,11,3,0,14.0,-25.0,0.0
MQ,CLT,BHM,1,0,1,0,3,3,2,124.0,153.0,15.0
WN,STL,VPS,0,0,0,0,17,7,0,36.0,-47.0,
AS,OMA,SEA,1,0,0,0,6,1,0,14.0,-63.0,
B6,FLL,SFO,0,1,1,0,7,2,1,63.0,2.0,57.0
NK,BOS,DFW,0,1,0,0,3,2,1,67.0,38.0,22.0
OH,SGF,DFW,1,1,1,0,1,0,0,-9.0,-13.0,
UA,IAH,SFO,1,1,0,0,7,2,0,-14.0,-43.0,0.0
WN,PNS,MCI,1,0,1,0,3,1,0,-12.0,-14.0,
YX,STL,LGA,1,0,0,0,2,1,0,-14.0,-8.0,
DL,ATL,MLB,0,0,0,1,15,3,0,52.0,-10.0,0.0
WN,RDU,BWI,0,1,1,0,6,2,0,7.0,22.0,0.0
UA,AVL,DEN,0,1,1,0,1,1,0,3.0,42.0,0.0
OH,RDU,PHL,0,0,0,0,36,6,0,183.0,70.0,0.0
OH,STL,DCA,0,0,0,1,7,1,0,41.0,53.0,0.0
OO,GRR,DTW,0,0,1,1,16,6,1,983.0,895.0,22.0
AA,ORD,PVD,0,0,1,0,1,1,0,-7.0,4.0,
MQ,DFW,CHS,0,1,0,0,3,2,1,18.0,26.0,1.0
B6,CHS,BOS,0,0,1,1,3,1,0,61.0,31.0,0.0
YX,CLT,EWR,1,0,1,0,2,1,0,10.0,1.0,
UA,BTV,IAD,0,0,1,0,2,1,0,50.0,62.0,0.0
AA,PDX,ORD,0,0,0,0,13,6,0,-24.0,12.0,0.0
9E,LGA,ILM,0,0,1,0,27,13,0,592.0,517.0,0.0
AA,DTW,MIA,0,0,1,0,6,1,0,-35.0,-68.0,0.0
YX,BOS,BWI,0,1,0,1,3,1,0,-16.0,-40.0,
AS,KTN,WRG,0,0,0,1,24,7,0,123.0,58.0,0.0
DL,CMH,SLC,0,0,0,1,3,1,0,14.0,-37.0,
UA,ORD,ABQ,0,1,1,0,1,0,0,-8.0,-11.0,
AA,MCI,ORD,0,0,1,1,4,2,0,209.0,233.0,0.0
WN,PDX,PHX,0,1,0,0,4,2,0,-1.0,-3.0,0.0
9E,MSP,CID,1,1,1,0,3,3,0,-14.0,42.0,0.0
B6,SEA,BOS,1,0,1,0,6,2,0,23.0,-74.0,
NK,PNS,FLL,0,1,0,1,2,0,0,-19.0,-20.0,
DL,SEA,KOA,1,0,1,0,10,3,0,11.0,-3.0,0.0
9E,MSP,CWA,1,0,0,1,2,1,0,10.0,-11.0,
DL,RDU,MIA,0,1,0,1,1,0,0,-7.0,-12.0,
WN,PHL,BNA,1,0,0,0,10,4,0,342.0,348.0,0.0
OH,PHL,IAH,1,0,1,0,2,0,0,-18.0,-52.0,
OO,SEA,BLI,0,1,1,1,5,2,0,-6.0,3.0,
OO,EAR,DEN,1,0,1,0,2,0,0,-24.0,-51.0,
F9,ORD,DFW,0,1,0,0,2,1,0,-19.0,-6.0,
OO,PDX,STS,1,0,0,0,1,1,0,-5.0,6.0,
MQ,AVP,ORD,1,1,1,0,4,2,1,69.0,62.0,13.0
HA,SMF,OGG,1,0,1,0,2,1,0,-6.0,23.0,0.0
WN,DEN,MIA,1,0,1,0,2,0,0,-3.0,-39.0,
F9,IND,RDU,0,0,1,0,2,1,0,84.0,58.0,0.0
WN,MSY,DAL,1,1,1,0,10,6,0,372.0,506.0,0.0
AA,TPA,PHL,0,0,1,1,9,5,0,630.0,588.0,0.0
AA,CLT,TUL,0,0,1,1,1,1,0,11.0,20.0,0.0
DL,ATL,SJC,0,0,1,1,3,1,0,-7.0,4.0,
OO,GRR,ORD,1,0,1,0,2,1,0,2.0,-2.0,
YX,ORD,CMH,0,1,0,1,1,0,0,-4.0,-2.0,
F9,MDW,IAH,0,0,0,0,9,3,0,-69.0,-15.0,0.0
NK,EWR,MIA,0,0,0,1,5,0,0,-20.0,-116.0,
MQ,ORD,XNA,0,1,0,1,3,1,0,-17.0,-20.0,
MQ,DFW,SGF,0,0,1,1,9,7,5,625.0,594.0,159.0
YX,ORD,PVD,0,0,0,0,5,2,0,-10.0,-6.0,0.0
YX,ORD,SYR,0,0,1,0,7,5,0,180.0,188.0,0.0
OO,SFO,ASE,1,0,1,0,7,6,0,725.0,585.0,0.0
DL,FSD,MSP,0,0,0,1,4,2,1,1114.0,1078.0,351.0
AA,MCO,CLT,0,1,1,0,8,7,2,294.0,370.0,70.0
OO,SLC,MFR,0,0,0,1,4,1,0,-6.0,-17.0,
WN,PVD,DEN,1,1,1,0,1,1,0,45.0,20.0,0.0
9E,RAP,MSP,1,0,1,0,2,2,0,28.0,116.0,0.0
OO,ORD,PWM,0,0,0,1,1,0,0,-2.0,-11.0,
WN,IND,ATL,0,0,0,0,87,26,0,331.0,-154.0,0.0
WN,IAH,DEN,0,0,0,0,114,23,0,889.0,72.0,0.0
F9,MCO,DFW,0,1,0,0,44,17,0,33.0,-44.0,0.0
UA,SFO,EWR,0,0,0,0,560,214,4,12128.0,5381.0,223.0
OO,SAN,LAX,0,0,0,0,375,136,20,5339.0,5451.0,2738.0
WN,SNA,OAK,0,0,0,0,205,45,0,1514.0,-481.0,0.0
UA,IAD,RSW,0,0,0,0,108,23,0,-90.0,-528.0,0.0
AA,JAC,ORD,0,1,0,0,19,6,0,158.0,-54.0,0.0
MQ,CMH,DFW,0,0,0,0,46,14,0,258.0,-200.0,0.0
YX,STL,EWR,0,0,0,0,153,15,1,-313.0,-2079.0,29.0
9E,DSM,MSP,0,0,0,0,148,38,2,887.0,108.0,23.0
G4,LCK,PIE,0,0,0,0,16,3,0,-33.0,-68.0,0.0
WN,DAL,SAV,0,0,0,0,54,26,3,547.0,442.0,99.0
WN,PDX,DEN,0,0,1,0,59,19,1,611.0,210.0,64.0
WN,DAL,ELP,0,0,0,0,178,47,3,843.0,58.0,42.0
F9,SYR,RSW,0,0,1,0,5,4,0,142.0,103.0,0.0
YX,OKC,LGA,1,0,1,0,15,6,4,605.0,440.0,383.0
