Year,Quarter,Month,DayOfWeek,Reporting_Airline,CancelledFlights,DivertedFlights,TotalFlights,DepartureDelayedFlights,ArrivalDelayedFlights,TotalDepDelay_gt_15M,TotalArrDelay_gt_15M,TotalDepDelay,TotalArrDelay,TotalDepDelayMinutes,TotalArrDelayMinutes,TotalCarrierDelay,TotalWeatherDelay,TotalNASDelay,TotalSecurityDelay,TotalLateAircraftDelay
2020,2,5,2,UA,8.0,1.0,149,30.0,28.0,1691.0,1509.0,-2958.0,-15424.0,2089.0,1742.0,1162.0,0.0,324.0,0.0,23.0
2022,1,1,4,UA,394.0,12.0,589,1069.0,1009.0,71961.0,70176.0,59091.0,15665.0,78761.0,75317.0,29439.0,2834.0,13281.0,0.0,24622.0
2022,1,1,6,OH,310.0,10.0,352,623.0,630.0,71496.0,69682.0,62224.0,47943.0,73283.0,71845.0,19152.0,10067.0,8093.0,24.0,32346.0
2022,4,11,7,DL,3.0,7.0,794,1521.0,1542.0,88908.0,86075.0,74481.0,5256.0,100862.0,97114.0,42710.0,700.0,19212.0,131.0,23322.0
2022,4,12,5,OH,122.0,7.0,286,340.0,410.0,30183.0,33604.0,21314.0,15771.0,31738.0,36016.0,8817.0,5390.0,6704.0,77.0,12616.0
2022,1,2,3,HA,1.0,0.0,71,62.0,77.0,4061.0,4198.0,2991.0,647.0,5112.0,5223.0,3329.0,0.0,0.0,136.0,733.0
2022,2,6,4,OH,277.0,10.0,325,823.0,874.0,81684.0,87320.0,73448.0,70762.0,84169.0,90376.0,17880.0,11543.0,18704.0,70.0,39123.0
2023,4,10,3,DL,1.0,11.0,834,791.0,750.0,48434.0,44672.0,15202.0,-80611.0,56295.0,51811.0,26596.0,3001.0,7007.0,0.0,8068.0
2023,4,10,3,OH,21.0,3.0,299,223.0,247.0,14722.0,14862.0,2960.0,-8046.0,15855.0,16888.0,5125.0,253.0,2224.0,69.0,7191.0
2023,4,11,2,NK,6.0,0.0,514,832.0,774.0,54110.0,49675.0,49385.0,28797.0,57814.0,53369.0,16701.0,219.0,12063.0,564.0,20128.0
2023,4,12,2,MQ,5.0,5.0,428,230.0,249.0,12850.0,13064.0,4869.0,-11600.0,14536.0,15232.0,3614.0,1483.0,2599.0,271.0,5097.0
2023,2,6,6,NK,81.0,36.0,474,1018.0,1056.0,88921.0,95029.0,85998.0,82358.0,92017.0,98066.0,23423.0,13996.0,31762.0,321.0,25527.0
2023,3,7,5,9E,287.0,14.0,294,659.0,743.0,69518.0,73065.0,65843.0,58888.0,71304.0,74643.0,12303.0,7427.0,26325.0,30.0,26980.0
2024,1,1,2,DL,83.0,73.0,868,2910.0,3094.0,266079.0,275505.0,239751.0,163313.0,275800.0,285298.0,92975.0,32626.0,57471.0,318.0,92115.0
2024,2,5,2,OO,184.0,24.0,1034,1657.0,1809.0,179748.0,188855.0,156014.0,139970.0,184884.0,196193.0,67805.0,41030.0,38165.0,9.0,41846.0
2024,3,7,3,DL,86.0,79.0,894,3737.0,3880.0,268687.0,275793.0,245216.0,179805.0,284119.0,290667.0,119165.0,11305.0,65594.0,372.0,79357.0
2024,3,8,2,UA,227.0,74.0,771,1643.0,1685.0,144907.0,143279.0,122476.0,70483.0,152642.0,150317.0,41206.0,13195.0,32456.0,14.0,56408.0
2020,1,1,3,UA,10.0,16.0,627,793.0,733.0,54946.0,48335.0,23220.0,-50315.0,59773.0,53674.0,13795.0,1220.0,10229.0,0.0,23091.0
2020,1,3,5,UA,1823.0,5.0,572,844.0,1030.0,58523.0,63903.0,37493.0,13601.0,62167.0,69016.0,14076.0,625.0,24643.0,0.0,24559.0
2020,3,9,5,WN,3.0,3.0,1000,490.0,367.0,18948.0,14434.0,-1451.0,-81002.0,24581.0,18305.0,7377.0,907.0,1836.0,55.0,4259.0
2020,3,9,5,NK,0.0,1.0,334,98.0,94.0,5212.0,4759.0,1434.0,-7201.0,5914.0,5711.0,1692.0,302.0,1368.0,54.0,1343.0
2021,4,11,6,OH,6.0,3.0,341,294.0,294.0,20815.0,19449.0,10622.0,-6540.0,22621.0,21712.0,8069.0,482.0,2305.0,114.0,8479.0
2021,1,3,5,YV,12.0,4.0,213,205.0,234.0,17697.0,17127.0,12052.0,-1053.0,18660.0,18334.0,7654.0,931.0,3169.0,52.0,5321.0
2022,3,8,7,WN,541.0,64.0,1326,6275.0,5544.0,379332.0,346710.0,390991.0,299148.0,404999.0,365602.0,95641.0,8604.0,41629.0,7171.0,193665.0
2021,3,7,1,YV,72.0,15.0,268,732.0,820.0,83661.0,87767.0,80940.0,79932.0,85298.0,89835.0,21262.0,16266.0,10927.0,5.0,39307.0
2023,1,3,1,G4,0.0,5.0,468,673.0,761.0,53807.0,59343.0,48309.0,50682.0,55971.0,61471.0,15488.0,1920.0,11964.0,68.0,29903.0
2023,2,5,4,OH,0.0,8.0,309,226.0,267.0,13908.0,14595.0,3898.0,-4778.0,15229.0,16479.0,5795.0,276.0,2752.0,18.0,5754.0
2023,4,12,6,AA,0.0,28.0,853,1873.0,2038.0,146062.0,146049.0,122448.0,55608.0,157772.0,158889.0,58573.0,2835.0,19956.0,486.0,64199.0
2022,3,9,1,WN,92.0,27.0,1351,3445.0,2803.0,156913.0,134824.0,162335.0,40349.0,185469.0,152242.0,45884.0,2917.0,20360.0,212.0,65451.0
2022,1,1,3,AS,173.0,12.0,276,361.0,414.0,18938.0,20366.0,11327.0,5130.0,20939.0,22582.0,8260.0,373.0,4899.0,42.0,6792.0
2020,2,6,1,OO,40.0,12.0,731,279.0,333.0,17918.0,20069.0,-4653.0,-31095.0,19015.0,22744.0,10540.0,6566.0,831.0,0.0,2132.0
2020,2,6,2,WN,12.0,6.0,938,750.0,531.0,27569.0,20218.0,4581.0,-97904.0,35648.0,26300.0,8316.0,1739.0,3538.0,66.0,6559.0
2021,2,5,2,AA,276.0,67.0,618,1692.0,1820.0,156539.0,163003.0,140976.0,98445.0,162284.0,168954.0,45979.0,20254.0,41160.0,440.0,55170.0
2022,1,2,4,UA,333.0,12.0,662,1420.0,1376.0,101826.0,98327.0,94511.0,51121.0,110236.0,105050.0,35926.0,4911.0,22391.0,0.0,35099.0
2020,2,5,6,AA,9.0,1.0,353,139.0,117.0,7466.0,5912.0,-8660.0,-50496.0,8631.0,6857.0,3764.0,84.0,681.0,96.0,1287.0
2020,4,10,6,HA,92.0,0.0,27,9.0,11.0,378.0,425.0,-1151.0,-1731.0,523.0,657.0,251.0,38.0,0.0,0.0,136.0
2020,2,5,1,HA,0.0,0.0,14,7.0,5.0,361.0,311.0,-746.0,-1642.0,395.0,397.0,301.0,0.0,0.0,0.0,10.0
2022,1,2,3,OO,740.0,38.0,1073,1168.0,1331.0,106973.0,112977.0,84593.0,44231.0,111716.0,118736.0,57184.0,16860.0,3930.0,102.0,34901.0
2022,2,4,6,HA,14.0,0.0,70,141.0,157.0,5844.0,6234.0,5964.0,4067.0,7919.0,8181.0,4007.0,0.0,62.0,87.0,2078.0
2022,2,5,6,HA,2.0,1.0,70,105.0,116.0,4754.0,4957.0,5132.0,3241.0,6694.0,6568.0,3213.0,0.0,274.0,21.0,1449.0
2022,3,9,2,OH,7.0,3.0,305,199.0,223.0,11068.0,11105.0,318.0,-9424.0,12288.0,12958.0,4418.0,403.0,1914.0,25.0,4345.0
2023,4,11,6,MQ,7.0,2.0,461,242.0,265.0,15188.0,15349.0,7072.0,-8006.0,17060.0,17836.0,5121.0,2587.0,2924.0,114.0,4603.0
2023,2,4,5,DL,183.0,8.0,822,1963.0,1836.0,121428.0,112135.0,106028.0,24656.0,133939.0,123864.0,54667.0,5847.0,15977.0,98.0,35546.0
2024,4,11,4,YX,8.0,5.0,422,663.0,782.0,50934.0,59031.0,37746.0,27814.0,52722.0,61607.0,9435.0,2670.0,22300.0,0.0,24626.0
2024,4,12,3,HA,3.0,2.0,74,102.0,116.0,5059.0,5298.0,3377.0,1875.0,5992.0,6402.0,2976.0,337.0,98.0,95.0,1792.0
2024,2,4,3,9E,87.0,8.0,334,380.0,423.0,35950.0,38563.0,26872.0,16049.0,37262.0,40047.0,10690.0,2246.0,11831.0,45.0,13751.0
2024,2,5,6,NK,11.0,10.0,504,705.0,673.0,42969.0,41339.0,36145.0,16666.0,46018.0,43988.0,11347.0,704.0,16917.0,202.0,12169.0
2024,3,8,3,OO,23.0,20.0,1042,1124.0,1263.0,95384.0,97387.0,62147.0,33747.0,100514.0,104711.0,56067.0,7879.0,13594.0,105.0,19742.0
2020,1,2,7,MQ,128.0,3.0,415,352.0,382.0,22753.0,23081.0,8193.0,-14400.0,24511.0,25714.0,6659.0,1680.0,5192.0,35.0,9515.0
2020,1,3,1,OO,1231.0,26.0,1294,861.0,832.0,65345.0,59081.0,5408.0,-109234.0,69138.0,64477.0,28063.0,3332.0,6526.0,82.0,21078.0
2020,3,8,3,AA,9.0,16.0,516,399.0,514.0,20818.0,24306.0,-6619.0,-32105.0,22985.0,28237.0,8370.0,4010.0,7327.0,192.0,4407.0
2020,3,8,7,OH,6.0,6.0,246,189.0,260.0,13759.0,14457.0,1189.0,-6402.0,15016.0,16974.0,6792.0,395.0,2793.0,50.0,4427.0
2021,4,11,5,DL,4.0,6.0,708,992.0,991.0,60695.0,57738.0,46992.0,-12524.0,70273.0,67922.0,31516.0,791.0,10386.0,295.0,14750.0
2021,1,2,2,OO,293.0,17.0,908,552.0,631.0,62385.0,61212.0,34839.0,-12737.0,64698.0,65344.0,37019.0,16546.0,1683.0,53.0,5911.0
2021,2,6,2,UA,9.0,32.0,531,789.0,968.0,53452.0,60604.0,42913.0,27516.0,60127.0,67416.0,17025.0,7078.0,16420.0,10.0,20071.0
2021,2,6,6,UA,12.0,15.0,538,1219.0,1353.0,82138.0,88143.0,77331.0,66080.0,88885.0,94415.0,21204.0,10916.0,20073.0,0.0,35950.0
2020,2,4,3,EV,215.0,0.0,177,16.0,17.0,938.0,924.0,-3689.0,-10325.0,1080.0,1072.0,427.0,57.0,440.0,0.0,0.0
